timestamp,hour_of_day,day_of_week,month,is_weekend,is_holiday,temperature_c,load_demand_kw
2025-01-01 00:00:00,0,2,1,0,0,13.58,30.45
2025-01-01 01:00:00,1,2,1,0,0,12.64,29.46
2025-01-01 02:00:00,2,2,1,0,0,5.76,27.02
2025-01-01 03:00:00,3,2,1,0,0,9.3,28.77
2025-01-01 04:00:00,4,2,1,0,0,9.35,35.85
2025-01-01 05:00:00,5,2,1,0,0,14.45,41.91
2025-01-01 06:00:00,6,2,1,0,0,15.26,52.17
2025-01-01 07:00:00,7,2,1,0,0,17.49,66.51
2025-01-01 08:00:00,8,2,1,0,0,16.18,64.6
2025-01-01 09:00:00,9,2,1,0,0,23.02,63.49
2025-01-01 10:00:00,10,2,1,0,0,20.77,55.55
2025-01-01 11:00:00,11,2,1,0,0,25.86,42.68
2025-01-01 12:00:00,12,2,1,0,0,28.75,46.78
2025-01-01 13:00:00,13,2,1,0,0,29.07,40.64
2025-01-01 14:00:00,14,2,1,0,0,29.13,36.51
2025-01-01 15:00:00,15,2,1,0,0,28.27,47.88
2025-01-01 16:00:00,16,2,1,0,0,27.07,51.43
2025-01-01 17:00:00,17,2,1,0,0,28.21,63.62
2025-01-01 18:00:00,18,2,1,0,0,28.67,85.67
2025-01-01 19:00:00,19,2,1,0,0,26.84,94.27
2025-01-01 20:00:00,20,2,1,0,0,26.36,95.4
2025-01-01 21:00:00,21,2,1,0,0,19.58,88.56
2025-01-01 22:00:00,22,2,1,0,0,17.43,75.98
2025-01-01 23:00:00,23,2,1,0,0,16.19,56.14
2025-01-02 00:00:00,0,3,1,0,0,15.24,29.74
2025-01-02 01:00:00,1,3,1,0,0,14.45,29.15
2025-01-02 02:00:00,2,3,1,0,0,8.23,27.92
2025-01-02 03:00:00,3,3,1,0,0,7.28,25.04
2025-01-02 04:00:00,4,3,1,0,0,9.76,37.86
2025-01-02 05:00:00,5,3,1,0,0,11.02,41.59
2025-01-02 06:00:00,6,3,1,0,0,11.34,56.88
2025-01-02 07:00:00,7,3,1,0,0,14.53,65.61
2025-01-02 08:00:00,8,3,1,0,0,16.73,71.56
2025-01-02 09:00:00,9,3,1,0,0,19.85,66.62
2025-01-02 10:00:00,10,3,1,0,0,23.13,52.15
2025-01-02 11:00:00,11,3,1,0,0,26.23,46.67
2025-01-02 12:00:00,12,3,1,0,0,26.23,39.08
2025-01-02 13:00:00,13,3,1,0,0,28.59,41.92
2025-01-02 14:00:00,14,3,1,0,0,27.47,36.79
2025-01-02 15:00:00,15,3,1,0,0,29.68,44.62
2025-01-02 16:00:00,16,3,1,0,0,28.98,58.52
2025-01-02 17:00:00,17,3,1,0,0,27.3,65.69
2025-01-02 18:00:00,18,3,1,0,0,26.29,76.0
2025-01-02 19:00:00,19,3,1,0,0,27.75,92.81
2025-01-02 20:00:00,20,3,1,0,0,23.07,85.46
2025-01-02 21:00:00,21,3,1,0,0,18.21,87.17
2025-01-02 22:00:00,22,3,1,0,0,16.41,69.4
2025-01-02 23:00:00,23,3,1,0,0,15.79,60.45
2025-01-03 00:00:00,0,4,1,0,0,15.13,33.68
2025-01-03 01:00:00,1,4,1,0,0,9.4,22.33
2025-01-03 02:00:00,2,4,1,0,0,14.86,26.87
2025-01-03 03:00:00,3,4,1,0,0,9.56,31.96
2025-01-03 04:00:00,4,4,1,0,0,14.81,31.28
2025-01-03 05:00:00,5,4,1,0,0,14.24,43.81
2025-01-03 06:00:00,6,4,1,0,0,13.08,56.88
2025-01-03 07:00:00,7,4,1,0,0,11.22,70.83
2025-01-03 08:00:00,8,4,1,0,0,16.22,69.54
2025-01-03 09:00:00,9,4,1,0,0,19.87,65.86
2025-01-03 10:00:00,10,4,1,0,0,21.2,59.42
2025-01-03 11:00:00,11,4,1,0,0,28.89,48.71
2025-01-03 12:00:00,12,4,1,0,0,27.23,44.19
2025-01-03 13:00:00,13,4,1,0,0,30.34,47.11
2025-01-03 14:00:00,14,4,1,0,0,27.47,44.46
2025-01-03 15:00:00,15,4,1,0,0,31.18,56.65
2025-01-03 16:00:00,16,4,1,0,0,33.71,74.07
2025-01-03 17:00:00,17,4,1,0,0,27.7,64.46
2025-01-03 18:00:00,18,4,1,0,0,23.09,73.33
2025-01-03 19:00:00,19,4,1,0,0,23.9,82.34
2025-01-03 20:00:00,20,4,1,0,0,20.56,92.73
2025-01-03 21:00:00,21,4,1,0,0,21.33,87.6
2025-01-03 22:00:00,22,4,1,0,0,17.72,74.59
2025-01-03 23:00:00,23,4,1,0,0,15.52,57.14
2025-01-04 00:00:00,0,5,1,1,0,15.13,25.5
2025-01-04 01:00:00,1,5,1,1,0,11.63,18.28
2025-01-04 02:00:00,2,5,1,1,0,9.54,24.61
2025-01-04 03:00:00,3,5,1,1,0,11.71,27.39
2025-01-04 04:00:00,4,5,1,1,0,11.13,26.96
2025-01-04 05:00:00,5,5,1,1,0,10.67,36.28
2025-01-04 06:00:00,6,5,1,1,0,13.11,44.74
2025-01-04 07:00:00,7,5,1,1,0,14.48,55.04
2025-01-04 08:00:00,8,5,1,1,0,18.89,61.03
